"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2020","850.50","670.00","970.50","660.50","13.13M","26.66%"
"09/01/2020","671.50","710.00","765.00","620.00","13.11M","-5.95%"
"08/01/2020","714.00","646.38","799.50","613.50","8.22M","10.44%"
"07/01/2020","646.50","849.50","900.50","577.00","20.21M","-22.99%"
"06/01/2020","839.50","921.50","1,038.00","762.00","21.90M","-4.82%"
"05/01/2020","882.00","643.50","965.00","429.80","33.09M","37.06%"
"04/01/2020","643.50","535.00","758.00","460.20","20.53M","16.79%"
"03/01/2020","551.00","1,252.00","1,280.00","182.50","34.52M","-55.17%"
"02/01/2020","1,229.00","1,698.00","1,950.00","1,126.00","12.37M","-27.71%"
"01/01/2020","1,700.00","1,695.00","1,842.00","1,618.75","8.08M","0.35%"
"12/01/2019","1,694.00","1,482.00","1,763.00","1,452.50","10.69M","14.30%"
"11/01/2019","1,482.00","1,265.00","1,500.00","1,221.00","10.92M","17.15%"
"10/01/2019","1,265.00","905.50","1,287.40","905.50","19.84M","38.25%"
"09/01/2019","915.00","718.00","933.00","675.60","6.91M","21.68%"
"08/01/2019","752.00","761.50","795.00","699.00","4.71M","-0.99%"
"07/01/2019","759.50","835.50","898.50","751.00","10.97M","-9.04%"
"06/01/2019","835.00","889.50","920.50","817.00","7.39M","-6.86%"
"05/01/2019","896.50","932.00","973.50","872.50","6.12M","-3.71%"
"04/01/2019","931.00","794.00","934.50","772.00","5.01M","17.33%"
"03/01/2019","793.50","820.00","862.00","793.00","4.22M","-1.37%"
"02/01/2019","804.50","792.50","855.00","777.00","3.38M","1.32%"
"01/01/2019","794.00","799.00","870.00","752.00","4.94M","2.85%"
"12/01/2018","772.00","851.50","860.50","741.00","3.32M","-7.54%"
"11/01/2018","835.00","838.50","985.00","781.50","8.01M","-1.76%"
"10/01/2018","850.00","924.50","937.50","802.00","7.86M","-8.85%"
"09/01/2018","932.50","989.30","1,053.00","876.00","5.61M","-4.75%"
"08/01/2018","979.00","920.00","997.50","919.50","5.88M","6.36%"
"07/01/2018","920.50","765.50","1,030.00","735.50","14.37M","18.39%"
"06/01/2018","777.50","816.50","865.00","725.00","5.31M","-3.72%"
"05/01/2018","807.50","858.00","888.00","802.50","4.32M","-5.83%"
"04/01/2018","857.50","826.50","878.50","818.00","4.84M","3.00%"
"03/01/2018","832.50","806.50","863.00","787.00","8.96M","3.16%"
"02/01/2018","807.00","684.00","835.50","630.00","9.32M","17.98%"
"01/01/2018","684.00","673.50","707.50","651.50","6.66M","0.51%"
"12/01/2017","680.50","699.50","712.50","668.50","4.53M","-2.99%"
"11/01/2017","701.50","600.50","724.50","577.40","11.38M","16.92%"
"10/01/2017","600.00","540.00","610.50","540.00","13.03M","11.84%"
"09/01/2017","536.50","520.00","543.50","498.25","12.04M","3.87%"
"08/01/2017","516.50","485.50","546.00","485.50","15.10M","6.22%"
"07/01/2017","486.25","616.00","667.25","484.75","23.93M","-21.00%"
"06/01/2017","615.50","619.50","630.50","592.50","8.95M","-1.52%"
"05/01/2017","625.00","614.50","650.00","600.50","12.63M","2.71%"
"04/01/2017","608.50","515.50","617.00","512.00","14.82M","17.93%"
"03/01/2017","516.00","539.00","549.50","512.00","14.27M","-3.28%"
"02/01/2017","533.50","516.00","542.00","497.69","14.73M","4.61%"
"01/01/2017","510.00","498.00","520.88","476.25","13.78M","2.82%"
"12/01/2016","496.00","476.00","512.19","461.50","12.00M","3.98%"
"11/01/2016","477.00","361.00","485.50","360.00","27.21M","32.96%"
"10/01/2016","358.75","425.00","429.00","354.50","19.22M","-14.38%"
"09/01/2016","419.00","445.00","486.25","409.50","31.59M","-6.63%"
"08/01/2016","448.75","485.00","518.50","439.65","15.37M","-7.47%"
"07/01/2016","485.00","535.50","588.50","469.25","19.87M","-7.97%"
"06/01/2016","527.00","650.00","657.00","507.65","13.55M","-18.74%"
"05/01/2016","648.50","618.50","675.00","615.00","9.61M","3.84%"
"04/01/2016","624.50","671.00","684.00","623.50","11.31M","-5.95%"
"03/01/2016","664.00","575.00","674.00","548.00","11.69M","16.59%"
"02/01/2016","569.50","553.50","579.05","478.75","9.13M","2.89%"
"01/01/2016","553.50","586.50","599.00","540.36","7.33M","-5.95%"
"12/01/2015","588.50","530.50","598.00","504.50","11.35M","12.85%"
"11/01/2015","521.50","479.00","528.00","440.48","5.72M","10.20%"
"10/01/2015","473.25","487.93","495.75","440.25","6.91M","-2.22%"
"09/01/2015","484.00","459.25","505.00","436.00","5.57M","6.84%"
"08/01/2015","453.00","449.75","500.00","408.00","6.65M","1.57%"
"07/01/2015","446.00","401.00","452.00","395.00","5.39M","12.91%"
"06/01/2015","395.00","412.00","423.50","385.77","5.44M","-4.70%"
"05/01/2015","414.50","393.00","426.00","382.25","3.82M","7.11%"
"04/01/2015","387.00","365.00","410.00","350.75","6.55M","6.91%"
"03/01/2015","362.00","292.50","374.33","289.00","10.03M","23.87%"
"02/01/2015","292.25","283.25","297.50","278.48","5.56M","1.39%"
"01/01/2015","288.25","289.50","297.75","267.50","5.21M","-0.95%"
"12/01/2014","291.00","270.00","299.25","263.23","9.54M","7.98%"
"11/01/2014","269.50","253.25","274.75","220.50","13.47M","3.26%"
"10/01/2014","261.00","215.75","267.75","200.00","10.44M","20.42%"
"09/01/2014","216.75","220.50","230.00","209.00","7.36M","-0.80%"
"08/01/2014","218.50","205.75","222.50","193.46","6.78M","4.55%"
"07/01/2014","209.00","207.00","223.50","200.25","10.24M","1.46%"
"06/01/2014","206.00","276.84","284.25","177.75","18.45M","-25.36%"
"05/01/2014","276.00","294.50","298.25","255.25","6.25M","-6.28%"
"04/01/2014","294.50","278.25","304.50","265.75","7.10M","5.75%"
"03/01/2014","278.50","286.75","300.00","268.00","6.62M","-2.88%"
"02/01/2014","286.75","250.25","289.00","244.50","6.42M","12.23%"
"01/01/2014","255.50","247.25","263.75","237.90","6.68M","3.86%"
