"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2021","198.70","144.30","199.45","141.30","","37.84%"
"01/01/2021","144.15","164.80","166.30","133.80","","-9.90%"
"12/01/2020","159.99","156.90","178.75","125.30","","3.49%"
"11/01/2020","154.59","93.24","177.50","89.32","","65.57%"
"10/01/2020","93.37","95.94","110.20","88.88","","-0.02%"
"09/01/2020","93.39","207.10","226.30","89.54","","-56.28%"
"08/01/2020","213.63","166.40","220.29","155.55","","27.18%"
"07/01/2020","167.98","221.90","237.60","163.31","","-25.13%"
"06/01/2020","224.36","243.60","360.60","3.00","","-5.36%"
"05/01/2020","237.06","216.25","264.30","159.40","","7.30%"
"04/01/2020","220.93","208.70","264.40","197.50","","3.04%"
"03/01/2020","214.42","482.00","482.00","192.85","","-55.86%"
"02/01/2020","485.81","574.30","645.00","462.40","","-15.32%"
"01/01/2020","573.69","626.80","683.40","568.50","","-8.36%"
"12/01/2019","626.00","555.60","644.20","532.40","","12.77%"
"11/01/2019","555.11","532.80","577.00","527.40","","7.85%"
"10/01/2019","514.71","479.10","533.40","448.01","","9.09%"
"09/01/2019","471.80","422.20","486.30","416.85","","11.36%"
"08/01/2019","423.67","425.60","470.00","411.80","","0.58%"
"07/01/2019","421.22","474.70","497.10","413.80","","-10.25%"
"06/01/2019","469.34","446.80","475.80","441.50","","3.27%"
"05/01/2019","454.50","542.00","548.80","4.64","","-16.28%"
"04/01/2019","542.87","503.60","566.50","499.00","","6.39%"
"03/01/2019","510.26","601.40","610.00","506.20","","-16.24%"
"02/01/2019","609.20","644.30","667.50","594.80","","-5.28%"
"01/01/2019","643.18","599.20","650.20","582.40","","2.88%"
"12/01/2018","625.19","636.00","637.00","580.60","","-0.30%"
"11/01/2018","627.10","600.00","668.80","6.39","","4.32%"
"10/01/2018","601.12","648.20","660.20","547.00","","-9.01%"
"09/01/2018","660.67","694.20","705.60","643.40","","-4.87%"
"08/01/2018","694.51","714.00","718.63","651.60","","-2.18%"
"07/01/2018","710.00","658.40","714.60","653.20","","6.27%"
"06/01/2018","668.12","685.50","726.80","654.60","","-2.78%"
"05/01/2018","687.20","630.40","706.40","630.40","","8.86%"
"04/01/2018","631.28","603.90","636.40","592.60","","2.42%"
"03/01/2018","616.38","615.40","635.60","587.20","","0.49%"
"02/01/2018","613.35","644.40","653.60","6.22","","-4.33%"
"01/01/2018","641.10","659.00","680.40","632.80","","-1.29%"
"12/01/2017","649.50","613.75","651.50","607.00","","5.90%"
"11/01/2017","613.33","640.00","644.00","582.50","","-3.56%"
"10/01/2017","636.00","591.00","676.00","591.00","","7.07%"
"09/01/2017","594.00","616.00","619.50","580.50","","-3.02%"
"08/01/2017","612.50","580.50","638.50","579.00","","5.97%"
