"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2019","22.55","22.17","23.75","21.61","","2.01%"
"01/01/2019","22.10","20.00","22.48","19.23","","14.51%"
"12/01/2018","19.30","21.86","21.86","18.71","","-10.38%"
"11/01/2018","21.53","17.72","21.67","17.72","","21.00%"
"10/01/2018","17.80","20.91","21.13","17.07","","-15.71%"
"09/01/2018","21.11","22.42","23.53","1.00","","-6.07%"
"08/01/2018","22.48","24.26","24.45","22.00","","-6.74%"
"07/01/2018","24.10","20.24","24.19","19.82","","16.79%"
"06/01/2018","20.64","23.20","24.16","20.33","","-11.49%"
"05/01/2018","23.32","24.12","25.53","23.04","","-3.38%"
"04/01/2018","24.14","25.75","27.27","23.70","","-18.14%"
"12/01/2017","29.48","29.48","29.48","28.77","","2.12%"
"11/01/2017","28.87","27.40","2,594.75","26.29","","5.36%"
"10/01/2017","27.41","23.64","27.67","23.64","","16.67%"
"09/01/2017","23.49","21.21","23.68","21.18","","12.02%"
"08/01/2017","20.97","17.96","21.07","17.96","","15.06%"
"07/01/2017","18.23","19.92","21.15","18.19","","-8.53%"
"06/01/2017","19.92","17.30","20.17","17.24","","14.87%"
"05/01/2017","17.34","15.81","17.34","15.81","","9.71%"
"04/01/2017","15.81","15.20","16.87","14.82","","3.81%"
"03/01/2017","15.23","13.94","15.54","13.66","","9.92%"
"02/01/2017","13.85","12.36","13.94","12.05","","11.60%"
"01/01/2017","12.41","12.54","12.95","11.20","","0.85%"
"12/01/2016","12.31","12.22","12.95","12.03","","0.70%"
"11/01/2016","12.23","11.79","13.15","11.12","","5.12%"
"10/01/2016","11.63","9.84","11.77","9.19","","18.17%"
"09/01/2016","9.84","10.60","11.22","9.50","","-6.14%"
"08/01/2016","10.48","10.70","11.03","10.25","","-1.32%"
"07/01/2016","10.63","10.62","11.55","10.15","","1.82%"
"06/01/2016","10.44","12.57","12.63","9.97","","-17.12%"
"05/01/2016","12.59","13.72","13.84","12.24","","-7.15%"
"04/01/2016","13.56","14.13","14.32","13.51","","-5.11%"
"03/01/2016","14.29","13.84","15.36","13.76","","4.12%"
"02/01/2016","13.73","13.55","13.93","11.88","","2.43%"
"01/01/2016","13.40","14.27","15.33","13.23","","-8.00%"
"12/01/2015","14.56","13.59","14.77","13.11","","6.43%"
"11/01/2015","13.69","13.27","14.22","12.77","","1.90%"
"10/01/2015","13.43","12.56","14.55","12.13","","8.09%"
"09/01/2015","12.43","10.97","12.50","10.53","","12.65%"
"08/01/2015","11.03","12.36","12.47","10.27","","-10.69%"
"07/01/2015","12.35","11.66","13.15","11.34","","6.79%"
"06/01/2015","11.56","12.85","12.85","11.40","","-10.94%"
"05/01/2015","12.98","12.69","13.89","12.28","","4.72%"
